Forma conservativa generica (legge di conservazione)	\( \dfrac{\partial U}{\partial t} + \dfrac{\partial F(U)}{\partial x} = 0 \)	FORMULE bilancio
Sistema di Eulero 1D (forma divergente/conservativa)	\( \dfrac{\partial U}{\partial t} + \dfrac{\partial F}{\partial x} = 0,\quad U=\begin{pmatrix}\rho\\ \rho u\\ \rho E\end{pmatrix},\ F=\begin{pmatrix}\rho u\\ \rho u^2+p\\ (\rho E+p)u\end{pmatrix} \)	FORMULE bilancio
Sistema di Eulero 1D (forma quasi-lineare)	\( \dfrac{\partial U}{\partial t} + A(U)\dfrac{\partial U}{\partial x} = 0,\quad A(U)=\dfrac{\partial F}{\partial U} \)	FORMULE bilancio
Advezione lineare (scalare lineare)	\( \dfrac{\partial u}{\partial t} + a\,\dfrac{\partial u}{\partial x} = 0 \iff \dfrac{\partial u}{\partial t} + \dfrac{\partial (a\,u)}{\partial x} = 0,\quad u(x,t)=u_0(x-at) \)	FORMULE bilancio
Equazione di Burgers (scalare non lineare)	\( \dfrac{\partial u}{\partial t} + u\,\dfrac{\partial u}{\partial x} = 0 \iff \dfrac{\partial u}{\partial t} + \dfrac{\partial}{\partial x}\!\Big(\dfrac{u^2}{2}\Big)=0 \)	FORMULE bilancio
PDE quasi-lineare del 2 ordine e classificazione (discriminante)	\[ A\,u_{xx} + B\,u_{xy} + C\,u_{yy} + \dots = 0 \;\longrightarrow\; \Delta = B^2 - 4AC \]	FORMULE bilancio
Classificazione tramite il discriminante	\( \Delta<0\ \Rightarrow\ \text{ellittica (subsonico)};\quad \Delta=0\ \Rightarrow\ \text{parabolica};\quad \Delta>0\ \Rightarrow\ \text{iperbolica (supersonico)} \)	FORMULE bilancio
Equazione del potenziale linearizzato	\( (1-M^2)\,\phi_{xx} + \phi_{yy} = 0,\quad \Delta=-4(1-M^2) \)	FORMULE bilancio
Autovalori della Jacobiana di Eulero 1D	\( A = L\,\Lambda\,L^{-1},\qquad \lambda = \{\,u,\ u+c,\ u-c\,\},\quad c=\sqrt{\gamma R T} \)	FORMULE bilancio
Velocita d'onda (caratteristica) per legge scalare	\( u_t + f(u)_x = 0 \;\Rightarrow\; \dfrac{dx}{dt}=f'(u),\qquad f=a\,u\Rightarrow f'=a,\ \ f=\tfrac{u^2}{2}\Rightarrow f'=u \)	FORMULE bilancio
