Forma conservativa generica (legge di conservazione)	\( \dfrac{\partial U}{\partial t} + \dfrac{\partial F(U)}{\partial x} = 0 \)	FORMULE
Sistema di Eulero 1D (forma divergente/conservativa)	\( \dfrac{\partial U}{\partial t} + \dfrac{\partial F}{\partial x} = 0,\quad U=\begin{pmatrix}\rho\\ \rho u\\ \rho E\end{pmatrix},\ F=\begin{pmatrix}\rho u\\ \rho u^2+p\\ (\rho E+p)u\end{pmatrix} \)	FORMULE
Sistema di Eulero 1D (forma quasi-lineare)	\( \dfrac{\partial U}{\partial t} + A(U)\dfrac{\partial U}{\partial x} = 0,\quad A(U)=\dfrac{\partial F}{\partial U} \)	FORMULE
Advezione lineare (scalare lineare)	\( \dfrac{\partial u}{\partial t} + a\,\dfrac{\partial u}{\partial x} = 0 \iff \dfrac{\partial u}{\partial t} + \dfrac{\partial (a\,u)}{\partial x} = 0,\quad u(x,t)=u_0(x-at) \)	FORMULE
Equazione di Burgers (scalare non lineare)	\( \dfrac{\partial u}{\partial t} + u\,\dfrac{\partial u}{\partial x} = 0 \iff \dfrac{\partial u}{\partial t} + \dfrac{\partial}{\partial x}\!\Big(\dfrac{u^2}{2}\Big)=0 \)	FORMULE
PDE quasi-lineare del 2 ordine e classificazione (discriminante)	\[ A\,u_{xx} + B\,u_{xy} + C\,u_{yy} + \dots = 0 \;\longrightarrow\; \Delta = B^2 - 4AC \]	FORMULE
Classificazione tramite il discriminante	\( \Delta<0\ \Rightarrow\ \text{ellittica (subsonico)};\quad \Delta=0\ \Rightarrow\ \text{parabolica};\quad \Delta>0\ \Rightarrow\ \text{iperbolica (supersonico)} \)	FORMULE
Equazione del potenziale linearizzato	\( (1-M^2)\,\phi_{xx} + \phi_{yy} = 0,\quad \Delta=-4(1-M^2) \)	FORMULE
Autovalori della Jacobiana di Eulero 1D	\( A = L\,\Lambda\,L^{-1},\qquad \lambda = \{\,u,\ u+c,\ u-c\,\},\quad c=\sqrt{\gamma R T} \)	FORMULE
Velocita d'onda (caratteristica) per legge scalare	\( u_t + f(u)_x = 0 \;\Rightarrow\; \dfrac{dx}{dt}=f'(u),\qquad f=a\,u\Rightarrow f'=a,\ \ f=\tfrac{u^2}{2}\Rightarrow f'=u \)	FORMULE
Rankine-Hugoniot (condizione di salto)	\( s\,[\![U]\!] = [\![F]\!] \iff s = \dfrac{[\![F]\!]}{[\![U]\!]} = \dfrac{F_R-F_L}{U_R-U_L} \)	FORMULE
Rankine-Hugoniot per Burgers	\( s = \dfrac{[\![f]\!]}{[\![u]\!]} = \dfrac{u_R^2/2 - u_L^2/2}{u_R-u_L} = \dfrac{u_L+u_R}{2} \)	FORMULE
Invarianti di Riemann (Eulero 1D, gas politropico)	\( J^{\pm} = u \pm \dfrac{2c}{\gamma-1}\ \ \text{costante lungo}\ \ \dfrac{dx}{dt}=u\pm c \)	FORMULE
Numero di Mach	\( M = \dfrac{u}{c},\quad M<1\ \text{subsonico},\ M>1\ \text{supersonico} \)	FORMULE
