Forma conservativa 1D	\( \frac{\partial u}{\partial t} + \frac{\partial f}{\partial x} = 0, \qquad f = f(u) \)	FORMULE
Eulero come limite di Navier-Stokes	\( \partial_t \mathbf U + \nabla\cdot \mathbf F^c = 0 \quad (\mu=k=0) \)	FORMULE
Forma integrale sulla cella	\( \frac{\partial}{\partial t}\int_{x_{j-1/2}}^{x_{j+1/2}} u\,dx = -\left(f_{j+1/2} - f_{j-1/2}\right) \)	FORMULE
Media di cella (variabile conservata)	\( U_j = \frac{1}{\Delta x}\int_{x_{j-1/2}}^{x_{j+1/2}} u\,dx \)	FORMULE
Aggiornamento a volumi finiti (esplicito)	\( U_j^{n+1} = U_j^n - \frac{\Delta t}{\Delta x}\left[F_{j+1/2} - F_{j-1/2}\right] \)	FORMULE
Flusso centrato (media aritmetica)	\( f_{j+1/2} = \tfrac12(f_j + f_{j+1}), \qquad f_{j-1/2} = \tfrac12(f_{j-1}+f_j) \)	FORMULE
Schema centrato esplicito	\( \frac{U_j^{n+1}-U_j^n}{\Delta t} + \frac{f_{j+1/2}^n - f_{j-1/2}^n}{\Delta x} = 0 \)	FORMULE
Flusso numerico di Lax-Friedrichs / Rusanov	\( F_{j+1/2}^{LF} = \tfrac12(F_j + F_{j+1}) - \frac{\lambda_{max}}{2}(U_{j+1} - U_j) \)	FORMULE
Velocita di dissipazione di Rusanov	\( \lambda_{max} = \max(|\lambda_j|,|\lambda_{j+1}|) \)	FORMULE
Condizione CFL	\( \mathrm{CFL} = \frac{\lambda_{max}\,\Delta t}{\Delta x} \le 1, \qquad \lambda_{max}=\max_j\max_k |\lambda_k^j| \)	FORMULE
Dato iniziale del problema di Riemann	\( u(x,0)=\begin{cases} u_L & x<0 \\ u_R & x>0 \end{cases} \)	FORMULE
Autovalori di Eulero 1D	\( \lambda_1 = u-a, \quad \lambda_2 = u, \quad \lambda_3 = u+a \)	FORMULE
Segno dell'autovalore (direzione upwind)	\( \sigma_k = \operatorname{sign}(\lambda_k) \in \{-1,+1\} \)	FORMULE
Proiettori upwind	\( \frac{1+\sigma_k}{2} \;(\text{onde destre}), \qquad \frac{1-\sigma_k}{2} \;(\text{onde sinistre}) \)	FORMULE
Schema di Godunov (aggiornamento)	\( U_j^{n+1} = U_j^n - \frac{\Delta t}{\Delta x}\left[F_{j+1/2} - F_{j-1/2}\right] \)	FORMULE
Decomposizione del salto di flusso (3 onde)	\( F_B - F_A = (F_C - F_A) + (F_D - F_C) + (F_B - F_D) \)	FORMULE
Contributi direzionali DF (destra e sinistra)	\( \overrightarrow{DF}_j = \sum_k \frac{1+\sigma_k}{2}\,\Delta F_k, \qquad \overleftarrow{DF}_j = \sum_k \frac{1-\sigma_k}{2}\,\Delta F_k \)	FORMULE
Flusso numerico di Godunov (upwind)	\( F_{j+1/2} = F_j + \overleftarrow{DF}_j = F_{j+1} - \overrightarrow{DF}_j \)	FORMULE
Aggiornamento upwind della cella j	\( U_j^{n+1} = U_j^n - \frac{\Delta t}{\Delta x}\left[\overleftarrow{DF}_j + \overrightarrow{DF}_{j-1}\right] \)	FORMULE
Flux Vector Splitting (FVS)	\( \mathbf F = \mathbf F^+(U) + \mathbf F^-(U) \)	FORMULE
Flux Difference Splitting (FDS)	\( \Delta F = F(U_R) - F(U_L) = A^+\Delta U + A^-\Delta U, \quad A=\frac{\partial F}{\partial U} \)	FORMULE
Condizione di consistenza di Roe	\( \bar A\,(U_R - U_L) = F(U_R) - F(U_L) \)	FORMULE
Media di Roe (velocita)	\( \bar u = \frac{\sqrt{\rho_L}\,u_L + \sqrt{\rho_R}\,u_R}{\sqrt{\rho_L}+\sqrt{\rho_R}} \)	FORMULE
Media di Roe (entalpia totale)	\( \bar H = \frac{\sqrt{\rho_L}\,H_L + \sqrt{\rho_R}\,H_R}{\sqrt{\rho_L}+\sqrt{\rho_R}} \)	FORMULE
Autovalori della matrice di Roe	\( \lambda(\bar A) = \{\bar u - \bar a,\; \bar u,\; \bar u + \bar a\} \in \mathbb{R} \)	FORMULE
Flusso di Roe (contributo upwind)	\( \overrightarrow{\delta F}_j = \sum_{k=1}^{3} \frac{\bar\lambda_k - |\bar\lambda_k|}{2}\,e^k\,\delta w_j^k \)	FORMULE
Entropy fix (Harten-Hyman)	\( |\lambda_k| \to \max(|\lambda_k|, \epsilon) \quad \text{se } |\lambda_k| < \epsilon \)	FORMULE
