Decomposizione di Reynolds	\( u_i(\mathbf{x},t)=\bar u_i(\mathbf{x})+u_i'(\mathbf{x},t),\quad \overline{u_i'}=0 \)	FORMULE
Media temporale	\( \bar u_i(\mathbf{x})=\lim_{T\to\infty}\frac{1}{T}\int_t^{t+T} u_i(\mathbf{x},t')\,dt' \)	FORMULE
Media spaziale (d'insieme)	\( \bar u(t)=\lim_{\Omega\to\infty}\frac{1}{\Omega}\int_\Omega u(\mathbf{x},t)\,d\Omega \)	FORMULE
Media di Favre (compressibile)	\( \tilde u_i=\dfrac{\overline{\rho\,u_i}}{\bar\rho} \)	FORMULE
Regola della media del prodotto	\( \overline{uv}=\bar u\,\bar v+\overline{u'v'} \)	FORMULE
Covarianza (definizione statistica)	\( \mathrm{Cov}(X,Y)=E[(X-\bar X)(Y-\bar Y)]=E[XY]-E[X]\,E[Y] \)	FORMULE
Proprieta dell'operatore di media	\[ \bar{\bar u}=\bar u,\quad \overline{u'}=0,\quad \overline{au+bv}=a\bar u+b\bar v,\quad \overline{\partial u/\partial x_i}=\partial\bar u/\partial x_i \]	FORMULE
Media del quadrato di una fluttuazione sinusoidale	\( u'=A\sin(\omega t)\ \Rightarrow\ \overline{(u')^2}=\tfrac{A^2}{2}\neq 0 \)	FORMULE
Equazione RANS incompressibile	\[ \rho\frac{\partial\bar u_i}{\partial t}+\rho\,\bar u_j\frac{\partial\bar u_i}{\partial x_j}=-\frac{\partial\bar p}{\partial x_i}+\frac{\partial}{\partial x_j}\big(\bar\tau_{ij}-\rho\,\overline{u_i'u_j'}\big) \]	FORMULE
Sforzo viscoso (legge di Newton, indiciale)	\( \tau_{ij}=\mu\big(\partial_j u_i+\partial_i u_j\big) \)	FORMULE
Continuita del campo medio e della fluttuazione	\( \partial_i\bar u_i=0,\qquad \partial_i u_i'=0 \)	FORMULE
Tensore degli sforzi di Reynolds	\( \tau^R_{ij}=-\rho\,\overline{u_i'u_j'} \) (simmetrico, 6 incognite indipendenti)	FORMULE
Energia cinetica turbolenta k	\( k=\tfrac12\,\overline{u_i'u_i'}=\tfrac12\big(\overline{u_1'^2}+\overline{u_2'^2}+\overline{u_3'^2}\big) \)	FORMULE
k in funzione del tensore di Reynolds	\( k=-\dfrac{1}{2\rho}\,\mathrm{tr}(\mathbf{R}) \)	FORMULE
Decomposizione isotropa/anisotropa di un tensore simmetrico	\[ T_{ij}=\underbrace{\tfrac13 T_{kk}\,\delta_{ij}}_{\text{isotropa}}+\underbrace{\big(T_{ij}-\tfrac13 T_{kk}\,\delta_{ij}\big)}_{\text{anisotropa}} \]	FORMULE
