# iter  residual_norm2  entropy_norm2
# Fortran-like CFL history for Bump, Roe scheme, CFL=0.9
    1  9.87879937E-003  2.96363781E-003
   11  8.74463085E-003  2.62338726E-003
   21  7.74067446E-003  2.32220034E-003
   31  6.85198076E-003  2.05559223E-003
   41  6.06531660E-003  1.81959298E-003
   51  5.36896813E-003  1.61068844E-003
   61  4.75256636E-003  1.42576791E-003
   71  4.20693272E-003  1.26207782E-003
   81  3.72394243E-003  1.11718073E-003
   91  3.29640351E-003  9.88919053E-004
  101  2.91794967E-003  8.75382902E-004
  111  2.58294554E-003  7.74881661E-004
  121  2.28640270E-003  6.85918811E-004
  131  2.02390550E-003  6.07169649E-004
  141  1.79154519E-003  5.37461556E-004
  151  1.58586180E-003  4.75756541E-004
  161  1.40379261E-003  4.21135784E-004
  171  1.24262650E-003  3.72785951E-004
  181  1.09996362E-003  3.29987087E-004
  191  9.73679652E-004  2.92101895E-004
  201  8.61894146E-004  2.58566244E-004
  211  7.62942561E-004  2.28880768E-004
  221  6.75351454E-004  2.02603436E-004
  231  5.97816547E-004  1.79342964E-004
  241  5.29183302E-004  1.58752991E-004
  251  4.68429734E-004  1.40526920E-004
  261  4.14651190E-004  1.24393357E-004
  271  3.67046876E-004  1.10112063E-004
  281  3.24907940E-004  9.74703821E-005
  291  2.87606911E-004  8.62800732E-005
  301  2.54588354E-004  7.63745063E-005
  311  2.25360608E-004  6.76061823E-005
  321  1.99488453E-004  5.98445359E-005
  331  1.76586641E-004  5.29739922E-005
  341  1.56314150E-004  4.68922449E-005
  351  1.38369112E-004  4.15087336E-005
  361  1.22484317E-004  3.67432950E-005
  371  1.08423230E-004  3.25249690E-005
  381  9.59764747E-005  2.87909424E-005
  391  8.49587122E-005  2.54856137E-005
  401  7.52058821E-005  2.25597646E-005
  411  6.65727592E-005  1.99698278E-005
  421  5.89307918E-005  1.76772375E-005
  431  5.21661869E-005  1.56478561E-005
  441  4.61782158E-005  1.38514647E-005
  451  4.08777144E-005  1.22613143E-005
  461  3.61857553E-005  1.08537266E-005
  471  3.20324729E-005  9.60774186E-006
  481  2.83560223E-005  8.50480669E-006
  491  2.51016593E-005  7.52849780E-006
